issue	ymd	term	record	wan	qian	bai	shi	ge
"180906262"	"2018-09-06"	"262"	"1,2,6,9,7"	"1"	"2"	"6"	"9"	"7"
"180906263"	"2018-09-06"	"263"	"7,8,4,1,6"	"7"	"8"	"4"	"1"	"6"
"180906264"	"2018-09-06"	"264"	"8,7,6,2,1"	"8"	"7"	"6"	"2"	"1"
"180906265"	"2018-09-06"	"265"	"2,4,0,5,5"	"2"	"4"	"0"	"5"	"5"
"180906266"	"2018-09-06"	"266"	"5,4,2,6,8"	"5"	"4"	"2"	"6"	"8"
"180906267"	"2018-09-06"	"267"	"3,9,6,3,7"	"3"	"9"	"6"	"3"	"7"
"180906268"	"2018-09-06"	"268"	"7,5,1,0,9"	"7"	"5"	"1"	"0"	"9"
"180906269"	"2018-09-06"	"269"	"6,1,4,7,8"	"6"	"1"	"4"	"7"	"8"
"180906270"	"2018-09-06"	"270"	"2,8,3,5,1"	"2"	"8"	"3"	"5"	"1"
"180906271"	"2018-09-06"	"271"	"6,9,4,3,2"	"6"	"9"	"4"	"3"	"2"
